address,object_type,floors,contruction_date,square
"г Уфа, пер. Кулибина, д.3",Многоквартирный дом,2,1953-01-01 00:00:00,412.4
"г Уфа, пер. Кулибина, д.4",Многоквартирный дом,4,1959-01-01 00:00:00,1277.4
"г Уфа, пер. Кулибина, д.5",Многоквартирный дом,2,1953-01-01 00:00:00,406.0
"г Уфа, пер. Кулибина, д.7",Многоквартирный дом,2,1953-01-01 00:00:00,671.97
"г Уфа, пер. Осетинский, д.15",Частный дом,1,1989-01-01 00:00:00,67.2
"г Уфа, пер. Пархоменко, д.10",Многоквартирный дом,5,1966-01-01 00:00:00,2401.7
"г Уфа, пер. Пархоменко, д.12",Многоквартирный дом,3,1960-01-01 00:00:00,965.2
"г Уфа, пер. Пархоменко, д.14",Многоквартирный дом,2,1953-01-01 00:00:00,847.78
"г Уфа, пер. Пархоменко, д.3",Другое строение,2,1969-01-01 00:00:00,0.01
"г Уфа, пер. Пархоменко, д.4",Другое строение,2,1961-01-01 00:00:00,0.01
"г Уфа, пер. Пархоменко, д.6",Многоквартирный дом,2,1957-01-01 00:00:00,599.48
"г Уфа, пер. Пархоменко, д.6 корп.1",Многоквартирный дом,3,1957-01-01 00:00:00,615.6
"г Уфа, пер. Пархоменко, д.7",Другое строение,2,,0.01
"г Уфа, пер. Пархоменко, д.8",Многоквартирный дом,5,1966-01-01 00:00:00,2503.6
"г Уфа, пер. Пархоменко, д.9",Многоквартирный дом,5,1978-01-01 00:00:00,1705.7
"г Уфа, пер. Станиславского, д.43 корп.1",Другое строение,1,,0.01
"г Уфа, пер. Шкаповский, д.1",Многоквартирный дом,5,1962-01-01 00:00:00,1581.5
"г Уфа, пер. Шкаповский, д.10",Многоквартирный дом,2,1950-01-01 00:00:00,600.8
"г Уфа, пер. Шкаповский, д.3",Другое строение,4,,0.01
"г Уфа, пер. Шкаповский, д.4",Многоквартирный дом,2,1950-01-01 00:00:00,776.4
"г Уфа, пер. Шкаповский, д.4 корп.а",Многоквартирный дом,2,1950-01-01 00:00:00,565.8
"г Уфа, пер. Шкаповский, д.5",Многоквартирный дом,5,1965-01-01 00:00:00,3086.1
"г Уфа, пер. Шкаповский, д.6",Многоквартирный дом,2,1950-01-01 00:00:00,552.6
"г Уфа, пер. Шкаповский, д.8",Многоквартирный дом,2,1951-01-01 00:00:00,746.2
"г Уфа, пер. Шкаповский, д.8 корп.а",Многоквартирный дом,2,1950-01-01 00:00:00,565.6
"г Уфа, пл. Верхнеторговая, д.1","Административные здания, конторы",1,,0.01
"г Уфа, пл. Верхнеторговая, д.1.",Другое строение,0,,0.01
"г Уфа, пл. Верхнеторговая, д.3","Административные здания, конторы",2,,0.01
"г Уфа, пр-кт Октября, д.0",Другое строение,1,,0.01
"г Уфа, пр-кт Октября, д.10",Многоквартирный дом,5,1960-01-01 00:00:00,3778.5
"г Уфа, пр-кт Октября, д.10 корп.1",Многоквартирный дом,12,1984-01-01 00:00:00,2787.8
"г Уфа, пр-кт Октября, д.101",Многоквартирный дом,5,1962-01-01 00:00:00,3241.4
"г Уфа, пр-кт Октября, д.103",Многоквартирный дом,5,1962-01-01 00:00:00,2858.4
"г Уфа, пр-кт Октября, д.103 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,2599.1
"г Уфа, пр-кт Октября, д.105",Многоквартирный дом,5,1962-01-01 00:00:00,2689.2
"г Уфа, пр-кт Октября, д.105 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,4997.9
"г Уфа, пр-кт Октября, д.105 корп.2",Многоквартирный дом,5,1963-01-01 00:00:00,2618.7
"г Уфа, пр-кт Октября, д.105 корп.3",Многоквартирный дом,5,1966-01-01 00:00:00,3200.0
"г Уфа, пр-кт Октября, д.105 корп.4",Многоквартирный дом,13,1980-01-01 00:00:00,5864.2
"г Уфа, пр-кт Октября, д.105 корп.5",Многоквартирный дом,13,1982-01-01 00:00:00,5192.4
"г Уфа, пр-кт Октября, д.106",Многоквартирный дом,5,1963-01-01 00:00:00,3934.4
"г Уфа, пр-кт Октября, д.106 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3574.2
"г Уфа, пр-кт Октября, д.106 корп.2",Многоквартирный дом,7,1963-01-01 00:00:00,4745.5
"г Уфа, пр-кт Октября, д.106 корп.3",Многоквартирный дом,5,1963-01-01 00:00:00,3581.7
"г Уфа, пр-кт Октября, д.107",Многоквартирный дом,5,1960-01-01 00:00:00,3333.5
"г Уфа, пр-кт Октября, д.107 корп.1",Многоквартирный дом,5,1960-01-01 00:00:00,3086.0
"г Уфа, пр-кт Октября, д.107 корп.2",Многоквартирный дом,4,1960-01-01 00:00:00,2342.67
"г Уфа, пр-кт Октября, д.107 корп.6",Другое строение,0,,0.01
"г Уфа, пр-кт Октября, д.107 корп.6",Многоквартирный дом,14,2009-01-01 00:00:00,13106.5
"г Уфа, пр-кт Октября, д.107 корп.Б",Многоквартирный дом,15,2015-01-01 00:00:00,26026.8
"г Уфа, пр-кт Октября, д.107 корп.Б*А*",Другое строение,0,,0.0
"г Уфа, пр-кт Октября, д.107/А",Многоквартирный дом,25,2017-10-01 00:00:00,43984.69
"г Уфа, пр-кт Октября, д.108",Многоквартирный дом,5,1963-01-01 00:00:00,5617.4
